"route_number","stop_name","hour","minutes"
"307","ნიკოლოზ ბარათაშვილის ქუჩა - [3983]","STOP_NAME","44"
"307","თავისუფლების მოედანი - [822]","STOP_NAME","45"
"307","პირველი კლასიკური გიმნაზია - [819]","STOP_NAME","46"
"307","ოპერის თეატრი - [817]","STOP_NAME","47"
"307","მ/ს "რუსთაველი" - [815]","STOP_NAME","48"
"307","ფილარმონია - [4358]","STOP_NAME","49"
"307","მერაბ კოსტავას ქუჩა #47 - [810]","STOP_NAME","50"
"307","გმირთა მოედანი - [803]","STOP_NAME","51"
"307","სიმონ ჩიქოვანის ქუჩა - [3087]","STOP_NAME","52"
"307","პეკინის გამზირი - [926]","STOP_NAME","53"
"307","მ/ს "ტექნიკური უნივერსიტეტი" - [928]","STOP_NAME","54"
"307","სულხან ცინცაძის ქუჩა - [929]","STOP_NAME","55"
"307","ადამ მიცკევიჩის ქუჩა - [931]","STOP_NAME","56"
"307","მ/ს "სამედიცინო უნივერსიტეტი" - [1050]","STOP_NAME","57"
"307","ოთარ ჭილაძის ქუჩა - [1051]","STOP_NAME","58"
"307","რესპუბლიკური საავადმყოფო - [1054]","STOP_NAME","59"
"307","სამედიცინო უნივერსიტეტი - [1055]","STOP_NAME","60"
"307","მიხეილ ასათიანის ქუჩა - [997]","STOP_NAME","61"
"307","მ/ს "დელისი" - [4602]","STOP_NAME","62"
"307","პეტრე ქავთარაძის ქუჩა #19 - [3103]","STOP_NAME","63"
"307","დავით თავხელიძის ქუჩა - [990]","STOP_NAME","64"
"307","#122-ე საჯარო სკოლა - [988]","STOP_NAME","65"
"307","პეტრე ქავთარაძის ქუჩა #33 - [992]","STOP_NAME","66"
"307","#35-ე საჯარო სკოლა - [986]","STOP_NAME","67"
"307","პეტრე ქავთარაძის ქუჩა #45 - [984]","STOP_NAME","68"
"307","სპეციალური პენიტენციური სამსახური - [983]","STOP_NAME","69"
"307","ბაგების საბაგირო - [976]","STOP_NAME","70"
"307","უნივერსიტეტის მაღლივი კორპუსი - [977]","STOP_NAME","71"
"312","დიდი დიღომი IV მ/რ (ავტობაზა #2) - [1188]","STOP_NAME","1"
"312","#192-ე საჯარო სკოლა - [1190]","STOP_NAME","2"
"312","არჩილ მეფის ქუჩა #12 - [3316]","STOP_NAME","3"
"312","არჩილ მეფის ქუჩა #8 - [1191]","STOP_NAME","4"
"312","მარკო პოლოს ქუჩა - [3314]","STOP_NAME","5"
"312","დავით ბატონიშვილის ქუჩა - [1192]","STOP_NAME","6"
"312","იან ჰომერის ქუჩა - [3850]","STOP_NAME","7"
"312","მირიან მეფის ქუჩა #100 - [1193]","STOP_NAME","8"
"312","მირიან მეფის ქუჩა #90 - [1194]","STOP_NAME","9"
"312","თეიმურაზ I-ის ქუჩა - [4333]","STOP_NAME","10"
"312","ტარიელის ქუჩა - [2506]","STOP_NAME","11"
"312","გიორგი ბრწყინვალეს ქუჩა - [1196]","STOP_NAME","12"
"312","პეტრე იბერის ქუჩა #16 - [4200]","STOP_NAME","13"
"312","იოანე პეტრიწის ქუჩა #14 - [1197]","STOP_NAME","14"
"312","იოანე პეტრიწის ქუჩა #8 - [1198]","STOP_NAME","15"
"312","იოანე პეტრიწის ქუჩა #4 - [1199]","STOP_NAME","16"
"312","ფარნავაზ მეფის გამზირი - [2497]","STOP_NAME","17"
"312","გიორგი ბრწყინვალეს ქუჩა - [1200]","STOP_NAME","18"
"312","ანბანის სკვერი - [3697]","STOP_NAME","19"
"312","დავით აღმაშენებლის ხეივანი მე-12 კილომეტრი - [1201]","STOP_NAME","20"
"312","ჭაშნაგირის ქუჩა - [1203]","STOP_NAME","21"
"312","დაცვის პოლიცია - [2785]","STOP_NAME","22"
"312","ლევან ფიცხელიანის ქუჩა - [1202]","STOP_NAME","23"
"312","13 ასურელი მამის ქუჩა - [2064]","STOP_NAME","24"
"312","საქალაქო სასამართლო - [1205]","STOP_NAME","25"
"312","დავით აღმაშენებლის ხეივანი #44 - [3601]","STOP_NAME","26"
"312","ევგენი მიქელაძის ქუჩა - [4198]","STOP_NAME","27"
"312","სოფელ დიღმის გადასახვევი - [1174]","STOP_NAME","28"
"312","პოლიციის დეპარტამენტი - [2166]","STOP_NAME","29"
"312","გარემოს დაცვისა და სოფლის მეურნეობის სამინისტრო - [1171]","STOP_NAME","30"
"312","იასამნის ქუჩა - [3742]","STOP_NAME","31"
"312","იური გაგარინის ქუჩა #24 - [3292]","STOP_NAME","32"
"312","ელისაბედ ჩერქეზიშვილის ქუჩა - [1166]","STOP_NAME","33"
"312","ოჩამჩირის ქუჩა - [3293]","STOP_NAME","34"
"312","ზურაბ ჟვანიას მოედანი - [4574]","STOP_NAME","35"
"312","ეროვნული არქივი - [4130]","STOP_NAME","36"
"312","მ/ს "სამედიცინო უნივერსიტეტი" - [1050]","STOP_NAME","37"
"312","ოთარ ჭილაძის ქუჩა - [1051]","STOP_NAME","38"
"312","რესპუბლიკური საავადმყოფო - [1054]","STOP_NAME","39"
"312","სამედიცინო უნივერსიტეტი - [1055]","STOP_NAME","40"
"312","მიხეილ ასათიანის ქუჩა - [997]","STOP_NAME","41"
"312","მ/ს "დელისი" - [2129]","STOP_NAME","42"
"312","მარშალ არჩილ გელოვანის პარკი - [1263]","STOP_NAME","43"
"312","ვაჟა-ფშაველას გამზირი #57 - [3099]","STOP_NAME","44"
"312","მ/ს "ვაჟა-ფშაველა" - [1261]","STOP_NAME","45"
"312","ვარლამ თოფურიას ქუჩა - [1259]","STOP_NAME","46"
"312","მიხეილ შავიშვილის ქუჩა - [1256]","STOP_NAME","47"
"312","ვაჟა-ფშაველას გამზირი #91 - [3100]","STOP_NAME","48"
"312","მ/ს "სახელმწიფო უნივერსიტეტი" - [1254]","STOP_NAME","49"
