"route_number","stop_index","stop_name"
"315","20","დავით აღმაშენებლის ხეივანი მე-12 კილომეტრი - [1201]"
"315","21","ჭაშნაგირის ქუჩა - [1203]"
"315","22","დაცვის პოლიცია - [2785]"
"315","23","ლევან ფიცხელიანის ქუჩა - [1202]"
"315","24","13 ასურელი მამის ქუჩა - [2064]"
"315","25","საქალაქო სასამართლო - [1205]"
"315","26","დავით აღმაშენებლის ხეივანი #44 - [3601]"
"315","27","დიღმის მასივი I კვარტალი - [1209]"
"315","28","13 მაისის სკვერი - [897]"
"315","29","შოთა შალიკაშვილის ხიდი - [898]"
"315","30","მ/ს ""დიდუბე"" - [4598]"
"315","31","წყალტუბოს ქუჩა - [4596]"
"315","32","კონსტანტინე სტანისლავსკის ქუჩა - [4594]"
"315","33","ეროვნული სკრინინგ ცენტრი - [4592]"
"315","34","რაჟდენ გვეტაძის ქუჩა - [4590]"
"315","35","მ/ს ""წერეთელი"" - [4588]"
"315","36","ბორის პაიჭაძის ეროვნული სტადიონი - [4586]"
"315","37","მე-#18 საჯარო სკოლა - [912]"
"315","38","მიხეილ წინამძღვრიშვილის ქუჩა - [813]"
"315","39","თევდორე მღვდლის ქუჩა - [4336]"
"315","40","სადგურის მოედანი - [3076]"
"320","1","საავადმყოფოების კომპლექსი - [2293]"
"320","2","ინფექციური საავადმყოფო - [893]"
"320","3","კონსტანტინე ჩაჩავას ქუჩა - [894]"
"320","4","მიხეილ ჭიაურელის ქუჩა - [2248]"
"320","5","ესმა ონიანის ქუჩა - [900]"
"320","6","დიღმის ტყეპარკი - [3299]"
"320","7","რობერტ ბარძიმაშვილის ქუჩა - [1268]"
"320","8","ბორის პაიჭაძის ქუჩა #14 - [1269]"
"320","9","ნოდარ ახალკაცის ქუჩა - [2095]"
"320","10","13 მაისის სკვერი - [897]"
"320","11","შოთა შალიკაშვილის ხიდი - [898]"
"320","12","მ/ს ""დიდუბე"" - [4598]"
"320","13","წყალტუბოს ქუჩა - [4596]"
"320","14","კონსტანტინე სტანისლავსკის ქუჩა - [4594]"
"320","15","ეროვნული სკრინინგ ცენტრი - [4592]"
"320","16","რაჟდენ გვეტაძის ქუჩა - [4590]"
